artist_id,artist_name
1087200,AThree-Arslan
1876,阿杜
187295,Assen捷
12132566,安苏羽
1881,阿木
1878,DJ-Varc
12441083,傲日其愣
860734,艾索
1106124,阿杰729
802016,安来宁
1081752,AlimjanTursun
1879,安琥
10998,爱乐团王超
1875,阿信
1132013,A路人
784443,阿来
1908,阿不都拉
964311,阿良良木健
2422,阿鲲
1877,阿牛
1058073,阿力木江·托合提
14469086,阿金和玄子
1047066,阿摩司
1045019,阿尔达克
1885,阿炳
1873,阿宝
1945,安东阳
1081117,Azoy
1102011,阿尔法
1122109,Allfine
804159,阿力普
947019,艾宝良
1049340,akbar ahmat ziba
1886,艾斯卡尔
1919,AP满人
727015,AL=六甲官锭
1980,安神
1050612,积木立方
1872,阿沁
1155078,安乐阳
12870537,Alex Hong
1039594,AKA道长
1921,安旭
762462,阿见
1047377,艾尼瓦尔江
1888,阿穆隆
12039231,艾山江·木合塔尔
1084038,Akbar Kahriman
1893,阿里
1053043,Archaic幻梦
1054175,AiPi 
1054144,Annco.Liu
1132165,任莫醒r
1961,阿译
1905,阿吉仔
1080022,Fumos
893266,A3
1049049,allan.X
229593,艾克拜尔·吐尔地
13222299,安浩辰
832010,曹翟
12054096,阿力木
862110,敖日格乐
1087768,士辉
12046022,Arivval
1912,阿清
1902,阿振
1060224,Kadirya
1054114,a$ce
1910,阿德
1904,阿爆
1906,阿龙正罡
1925,奥杰阿格
12108783,阿尔曼
1161024,AC周予天
1039871,AHJOL''RAHEM HALIP
1882,阿强
1039587,aka南瓜
1043417,阿权
12142151,Along
854301,安平
1081930,AseLOrDa
1060008,朱志冉冉
1039416,Anchoe
2022,阿左
12263332,阿宽
1926,阿拉腾傲刀
1054102,YoungDrake
1021394,阿四龙
1124167,安浩
1040062,Akber
1075100,ABSDJHONG
1047280,YK-D
12203229,阿影
1896,阿沐
13582195,安迪
28387245,安筱冷 
805076,ANNER
12356407,白小白
13058488,卜凡
13058487,毕雯珺
839689,SAM努尔夏提
12091076,白宇
12493701,布瑞吉Bridge
12288707,半阳的粉丝而已
1084207,白亮
13059430,贝汯璘
1054040,冰块先生
1181417,拜合提亚尔塔依尔
909029,白举纲
1085053,变奏的梦想
1048054,Braska
1050807,白宁
12259146,Black.Key
12523451,BrAnTB
1047238,白挺
2026,布仁巴雅尔
2098,暴林
1131033,拜合提亚bahtiyar aziz
2063,白玛多吉
14100563,白菜
12041068,白敬亭
2056,拜尔
2103,血男孩
2104,Beatsound
1047057,BEC包子
12647412,巴图
12131640,冰山来客
1053147,笨笨口琴
2033,包朝克
2087,波拉
2034,鲍比达
12457194,边江
816079,薄彩生
12090249,孛儿只斤·包迪
2055,白天不亮
1081918,Ballrockin
12279094,鲍鹏
2059,毕书尽
2049,卞留念
2048,百慕三石
1038371,BlurryCloud
12108685,BLOW
1044102,Viper毒蛇
1078363,巴顿
1047011,白客
868113,BigKey
2060,白羽
1057198,B.C.W.懒领阶级
14100790,北疯
2101,Barry
1038088,贝歌
2032,贝玛千贝仁波切
13706227,表哥
1078050,BHTY-R
1060060,斑辣个马
1060124,周迪
1150216,巴图
12263538,白凯南
12344330,BackToBand
2027,卜学亮
969082,背背
1032373,边远
1132200,包胡尔查
2025,B6
11992127,包贝尔
13568181,鲍越
12263329,白泽
12817024,白静晨
2061,包伍
1094177,包威尔
12107259,白勺
1057274,包青山
13699123,bAddrop
2065,布川
1132662,鲍昕宇Aspada
12493121,YoungBoyDan
1038354,边边
1040104,Blindman
12872011,彬雨木
12141067,巴音
27692361,北木森
1032406,波比
1049372,白浩
29148292,巴巴烙
14714187,薄云天
2073,鲍元恺
2050,白音孟和
12355027,白应鑫
1047265,波仔
228408,Bloody Woods
2071,白龙
1106064,半梦
1087669,BK532
1008035,BillySmith
1065002,Bikman
2116,陈奕迅
12079044,陈硕子
1058228,陈鸿宇
2112,陈小春
13056440,陈立农
12131566,CLOUD WANG
2127,陈柏宇
12634049,丛铭君
2201,陈势安
2115,陈百强
2117,侧田
2110,曹格
2124,陈楚生
12132471,陈信喆
2118,成龙
2121,蔡旻佑
2122,陈冠希
1044054,R7CKY
2150,陈冠蒲
963409,陈学冬
1084178,Candy_Wind
2111,崔健
964450,陈奕夫
2159,曹轩宾
2230,陈雅森
2331,陈翔
2294,陈光荣
2153,常石磊
6557,曾一鸣
2125,陈晓东
12010027,陈柏霖
963431,陈致逸
12095299,陈柯宇
31055,Cee
2130,蔡国权
1043290,传琦SAMA
2147,陈旭
168021,陈俊彤
2135,陈勋奇
1041027,Chace
2113,车继铃
1046063,蔡方萌
1007135,陈小虎
2312,C AllStar
189379,陈鹏杰
12023426,CARTA
941023,曹槽
224360,陈亮
2213,苍茫
1132979,蔡照
2131,川子
2204,陈辉权
1124141,残泪杰
900139,曾经艺也
2141,陈雷
6608,曾志伟
2134,陈坤
13057490,陈斯琪
2414,曹越
2448,曹秦
13228454,蔡威泽
13059431,陈名豪
2164,陈伟霆
6862,曾志豪
991003,崔跃文
2209,陈少华
14471208,陈丙
168042,曹寅
2276,崔京浩
2133,陈奂仁
1014024,茶季杨
1152025,陈知&游园惊梦
1149014,厨房仔
727005,陈赫
1043304,曹思义
2138,陈浩民
2375,蔡志展
12312092,曹方瑞
1081291,CloudINJoke
958173,才让东珠
2202,陈其钢
2330,晨熙
12301031,陈圣夫
2174,陈底里
14713124,陈彦希REGI
2336,程池
826307,陈晓
2428,陈劭康KOMIC
12091078,崔航
2119,蔡国庆
2338,船长
